date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:34:33	30/30	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Dec%202022%2006:33:49%20GMT	https://cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/prSfAi1xGrhLQNxVSUFh61xQ4Qy.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/prSfAi1xGrhLQNxVSUFh61xQ4Qy.24.delayed	(from https://wtach.club/en/movie/436270/black-adam)
07:34:33	31385/31385	---M--	200	added ('OK')	image/jpeg	etag:%226272b8b8-7a99%22	https://image.tmdb.org/t/p/w300/prSfAi1xGrhLQNxVSUFh61xQ4Qy.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/image.tmdb.org/t/p/w300/prSfAi1xGrhLQNxVSUFh61xQ4Qy.jpg	(from https://wtach.club/en/movie/436270/black-adam)
07:34:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Dec%202022%2006:33:50%20GMT	http://cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/yprv5PbnEksoVj2v6XEnDBg9joR.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/yprv5PbnEksoVj2v6XEnDBg9joR.jpg	(from https://wtach.club/en/movie/436270/black-adam)
07:34:39	30/30	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Dec%202022%2006:33:55%20GMT	https://cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/yprv5PbnEksoVj2v6XEnDBg9joR.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/yprv5PbnEksoVj2v6XEnDBg9joR.27.delayed	(from https://wtach.club/en/movie/436270/black-adam)
07:34:40	35939/35939	---M--	200	added ('OK')	image/jpeg	etag:%226272bac3-8c63%22	https://image.tmdb.org/t/p/w300/yprv5PbnEksoVj2v6XEnDBg9joR.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/image.tmdb.org/t/p/w300/yprv5PbnEksoVj2v6XEnDBg9joR.jpg	(from https://wtach.club/en/movie/436270/black-adam)
07:34:42	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Dec%202022%2006:33:56%20GMT	http://cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/gC6s6NKHneSrOKyQZnUMb443RKU.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/gC6s6NKHneSrOKyQZnUMb443RKU.jpg	(from https://wtach.club/en/movie/436270/black-adam)
07:34:46	30/30	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Dec%202022%2006:34:02%20GMT	https://cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/gC6s6NKHneSrOKyQZnUMb443RKU.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/gC6s6NKHneSrOKyQZnUMb443RKU.2a.delayed	(from https://wtach.club/en/movie/436270/black-adam)
07:34:48	48484/48484	---M--	200	added ('OK')	image/jpeg	etag:%2262a4e697-bd64%22	https://image.tmdb.org/t/p/w300/gC6s6NKHneSrOKyQZnUMb443RKU.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/image.tmdb.org/t/p/w300/gC6s6NKHneSrOKyQZnUMb443RKU.jpg	(from https://wtach.club/en/movie/436270/black-adam)
07:34:49	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Dec%202022%2006:34:03%20GMT	http://cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/1wg65q3daTE8rGfaUhBxLdXk6NL.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/1wg65q3daTE8rGfaUhBxLdXk6NL.jpg	(from https://wtach.club/en/movie/436270/black-adam)
07:34:52	30/30	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Dec%202022%2006:34:08%20GMT	https://cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/1wg65q3daTE8rGfaUhBxLdXk6NL.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/1wg65q3daTE8rGfaUhBxLdXk6NL.2d.delayed	(from https://wtach.club/en/movie/436270/black-adam)
07:34:52	27201/27201	---M--	200	added ('OK')	image/jpeg	etag:%226272e2af-6a41%22	https://image.tmdb.org/t/p/w300/1wg65q3daTE8rGfaUhBxLdXk6NL.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/image.tmdb.org/t/p/w300/1wg65q3daTE8rGfaUhBxLdXk6NL.jpg	(from https://wtach.club/en/movie/436270/black-adam)
